Data Venda	Produto	Quantidade	Vlr Unitário
11/03/2017	Tijolo	237	R$ 113,64
11/03/2017	Rejunte	287	R$ 95,48
11/03/2017	Porta	280	R$ 122,29
10/03/2017	Porta	157	R$ 122,29
10/03/2017	Rejunte	125	R$ 95,48
10/03/2017	Fiação	150	R$ 120,95
10/03/2017	Rejunte	167	R$ 95,48
10/03/2017	Fiação	253	R$ 120,95
09/03/2017	Fiação	71	R$ 120,95
09/03/2017	Piso	141	R$ 138,32
09/03/2017	Piso	85	R$ 138,32
08/03/2017	Janela	89	R$ 54,75
08/03/2017	Vergalhão	61	R$ 138,59
07/03/2017	Cimento	154	R$ 273,37
07/03/2017	Telha	186	R$ 48,81
06/03/2017	Vergalhão	202	R$ 138,59
06/03/2017	Cimento	105	R$ 273,37
06/03/2017	Tinta	269	R$ 228,42
05/03/2017	Tijolo	68	R$ 113,64
05/03/2017	Fiação	182	R$ 120,95
05/03/2017	Telha	230	R$ 48,81
05/03/2017	Tinta	185	R$ 228,42
05/03/2017	Fiação	270	R$ 120,95
05/03/2017	Fiação	163	R$ 120,95
04/03/2017	Janela	120	R$ 54,75
03/03/2017	Vergalhão	268	R$ 138,59
02/03/2017	Rejunte	187	R$ 95,48
02/03/2017	Fiação	215	R$ 120,95
02/03/2017	Tinta	225	R$ 228,42
01/03/2017	Porta	144	R$ 122,29
01/03/2017	Piso	96	R$ 138,32
01/03/2017	Tijolo	259	R$ 113,64
01/03/2017	Vergalhão	225	R$ 138,59
28/02/2017	Vergalhão	145	R$ 138,59
28/02/2017	Janela	133	R$ 54,75
27/02/2017	Tijolo	252	R$ 113,64
27/02/2017	Piso	171	R$ 138,32
26/02/2017	Fiação	224	R$ 120,95
26/02/2017	Cimento	86	R$ 273,37
25/02/2017	Porta	275	R$ 122,29
25/02/2017	Tijolo	241	R$ 113,64
25/02/2017	Janela	88	R$ 54,75
25/02/2017	Rejunte	232	R$ 95,48
25/02/2017	Porta	175	R$ 122,29
25/02/2017	Cimento	218	R$ 273,37
25/02/2017	Rejunte	274	R$ 95,48
24/02/2017	Vergalhão	182	R$ 138,59
24/02/2017	Telha	256	R$ 48,81
23/02/2017	Telha	127	R$ 48,81
22/02/2017	Piso	73	R$ 138,32
22/02/2017	Janela	296	R$ 54,75
22/02/2017	Cimento	225	R$ 273,37
22/02/2017	Tinta	53	R$ 228,42
22/02/2017	Cimento	56	R$ 273,37
21/02/2017	Telha	174	R$ 48,81
21/02/2017	Janela	214	R$ 54,75
20/02/2017	Janela	97	R$ 54,75
20/02/2017	Tinta	53	R$ 228,42
20/02/2017	Rejunte	277	R$ 95,48
20/02/2017	Vergalhão	72	R$ 138,59
20/02/2017	Tinta	207	R$ 228,42
20/02/2017	Rejunte	276	R$ 95,48
19/02/2017	Porta	124	R$ 122,29
18/02/2017	Vergalhão	284	R$ 138,59
18/02/2017	Porta	290	R$ 122,29
18/02/2017	Tijolo	279	R$ 113,64
17/02/2017	Porta	113	R$ 122,29
15/02/2017	Rejunte	195	R$ 95,48
15/02/2017	Janela	133	R$ 54,75
15/02/2017	Porta	258	R$ 122,29
15/02/2017	Piso	182	R$ 138,32
15/02/2017	Telha	172	R$ 48,81
14/02/2017	Rejunte	239	R$ 95,48
12/02/2017	Cimento	192	R$ 273,37
12/02/2017	Telha	253	R$ 48,81
12/02/2017	Rejunte	111	R$ 95,48
12/02/2017	Cimento	97	R$ 273,37
11/02/2017	Fiação	113	R$ 120,95
11/02/2017	Tinta	190	R$ 228,42
11/02/2017	Telha	245	R$ 48,81
10/02/2017	Tijolo	80	R$ 113,64
10/02/2017	Piso	176	R$ 138,32
10/02/2017	Rejunte	276	R$ 95,48
10/02/2017	Tinta	75	R$ 228,42
10/02/2017	Tinta	270	R$ 228,42
10/02/2017	Janela	257	R$ 54,75
10/02/2017	Fiação	71	R$ 120,95
09/02/2017	Fiação	187	R$ 120,95
09/02/2017	Tinta	116	R$ 228,42
09/02/2017	Fiação	249	R$ 120,95
09/02/2017	Tinta	177	R$ 228,42
08/02/2017	Vergalhão	57	R$ 138,59
08/02/2017	Fiação	117	R$ 120,95
07/02/2017	Piso	247	R$ 138,32
07/02/2017	Rejunte	68	R$ 95,48
07/02/2017	Piso	189	R$ 138,32
06/02/2017	Porta	135	R$ 122,29
06/02/2017	Tijolo	130	R$ 113,64
05/02/2017	Fiação	232	R$ 120,95
05/02/2017	Fiação	267	R$ 120,95
05/02/2017	Janela	204	R$ 54,75
05/02/2017	Vergalhão	212	R$ 138,59
05/02/2017	Vergalhão	169	R$ 138,59
04/02/2017	Rejunte	209	R$ 95,48
04/02/2017	Porta	89	R$ 122,29
04/02/2017	Cimento	210	R$ 273,37
03/02/2017	Tijolo	171	R$ 113,64
03/02/2017	Janela	163	R$ 54,75
03/02/2017	Vergalhão	64	R$ 138,59
03/02/2017	Rejunte	281	R$ 95,48
02/02/2017	Vergalhão	239	R$ 138,59
02/02/2017	Rejunte	291	R$ 95,48
02/02/2017	Porta	208	R$ 122,29
02/02/2017	Fiação	91	R$ 120,95
02/02/2017	Tijolo	111	R$ 113,64
02/02/2017	Fiação	90	R$ 120,95
01/02/2017	Tinta	266	R$ 228,42
01/02/2017	Vergalhão	284	R$ 138,59
01/02/2017	Telha	252	R$ 48,81
31/01/2017	Rejunte	78	R$ 95,48
30/01/2017	Vergalhão	264	R$ 138,59
30/01/2017	Cimento	125	R$ 273,37
29/01/2017	Telha	101	R$ 48,81
29/01/2017	Vergalhão	71	R$ 138,59
29/01/2017	Fiação	178	R$ 120,95
27/01/2017	Vergalhão	168	R$ 138,59
27/01/2017	Piso	158	R$ 138,32
27/01/2017	Rejunte	93	R$ 95,48
27/01/2017	Piso	274	R$ 138,32
26/01/2017	Telha	104	R$ 48,81
26/01/2017	Piso	225	R$ 138,32
26/01/2017	Vergalhão	159	R$ 138,59
25/01/2017	Tijolo	120	R$ 113,64
25/01/2017	Telha	147	R$ 48,81
24/01/2017	Piso	176	R$ 138,32
24/01/2017	Janela	197	R$ 54,75
23/01/2017	Tijolo	133	R$ 113,64
23/01/2017	Cimento	116	R$ 273,37
23/01/2017	Telha	157	R$ 48,81
23/01/2017	Piso	137	R$ 138,32
22/01/2017	Vergalhão	289	R$ 138,59
22/01/2017	Telha	220	R$ 48,81
22/01/2017	Janela	219	R$ 54,75
22/01/2017	Cimento	273	R$ 273,37
21/01/2017	Fiação	250	R$ 120,95
21/01/2017	Porta	266	R$ 122,29
20/01/2017	Porta	253	R$ 122,29
20/01/2017	Piso	76	R$ 138,32
20/01/2017	Cimento	266	R$ 273,37
20/01/2017	Rejunte	72	R$ 95,48
20/01/2017	Piso	201	R$ 138,32
20/01/2017	Tinta	297	R$ 228,42
20/01/2017	Tijolo	295	R$ 113,64
19/01/2017	Janela	189	R$ 54,75
19/01/2017	Porta	124	R$ 122,29
19/01/2017	Cimento	292	R$ 273,37
19/01/2017	Piso	106	R$ 138,32
18/01/2017	Vergalhão	101	R$ 138,59
17/01/2017	Telha	134	R$ 48,81
17/01/2017	Tijolo	96	R$ 113,64
17/01/2017	Telha	125	R$ 48,81
17/01/2017	Janela	58	R$ 54,75
16/01/2017	Rejunte	126	R$ 95,48
16/01/2017	Fiação	162	R$ 120,95
16/01/2017	Porta	205	R$ 122,29
16/01/2017	Janela	127	R$ 54,75
15/01/2017	Cimento	197	R$ 273,37
15/01/2017	Tinta	202	R$ 228,42
15/01/2017	Vergalhão	137	R$ 138,59
14/01/2017	Janela	179	R$ 54,75
14/01/2017	Tijolo	295	R$ 113,64
14/01/2017	Vergalhão	286	R$ 138,59
13/01/2017	Cimento	115	R$ 273,37
13/01/2017	Cimento	258	R$ 273,37
13/01/2017	Telha	125	R$ 48,81
13/01/2017	Rejunte	124	R$ 95,48
13/01/2017	Vergalhão	210	R$ 138,59
13/01/2017	Piso	204	R$ 138,32
13/01/2017	Rejunte	253	R$ 95,48
12/01/2017	Janela	284	R$ 54,75
11/01/2017	Porta	94	R$ 122,29
11/01/2017	Telha	107	R$ 48,81
10/01/2017	Fiação	70	R$ 120,95
10/01/2017	Cimento	206	R$ 273,37
10/01/2017	Fiação	72	R$ 120,95
09/01/2017	Fiação	221	R$ 120,95
08/01/2017	Fiação	98	R$ 120,95
08/01/2017	Piso	202	R$ 138,32
08/01/2017	Tinta	116	R$ 228,42
08/01/2017	Rejunte	240	R$ 95,48
07/01/2017	Vergalhão	293	R$ 138,59
07/01/2017	Janela	182	R$ 54,75
07/01/2017	Janela	213	R$ 54,75
07/01/2017	Janela	228	R$ 54,75
06/01/2017	Cimento	120	R$ 273,37
05/01/2017	Piso	173	R$ 138,32
05/01/2017	Rejunte	63	R$ 95,48
05/01/2017	Porta	219	R$ 122,29
05/01/2017	Janela	98	R$ 54,75
05/01/2017	Telha	257	R$ 48,81
04/01/2017	Vergalhão	297	R$ 138,59
04/01/2017	Piso	53	R$ 138,32
04/01/2017	Telha	248	R$ 48,81
04/01/2017	Janela	237	R$ 54,75
04/01/2017	Porta	138	R$ 122,29
03/01/2017	Tinta	208	R$ 228,42
03/01/2017	Rejunte	93	R$ 95,48
03/01/2017	Cimento	144	R$ 273,37
03/01/2017	Piso	265	R$ 138,32
02/01/2017	Cimento	284	R$ 273,37
01/01/2017	Fiação	165	R$ 120,95
01/01/2017	Vergalhão	211	R$ 138,59
01/01/2017	Piso	111	R$ 138,32
31/12/2016	Vergalhão	160	R$ 138,59
31/12/2016	Vergalhão	293	R$ 138,59
31/12/2016	Porta	245	R$ 122,29
30/12/2016	Janela	203	R$ 54,75
30/12/2016	Janela	150	R$ 54,75
30/12/2016	Porta	129	R$ 122,29
30/12/2016	Tijolo	64	R$ 113,64
29/12/2016	Fiação	170	R$ 120,95
29/12/2016	Telha	89	R$ 48,81
29/12/2016	Cimento	286	R$ 273,37
28/12/2016	Tinta	268	R$ 228,42
28/12/2016	Telha	82	R$ 48,81
28/12/2016	Fiação	292	R$ 120,95
28/12/2016	Janela	181	R$ 54,75
27/12/2016	Tijolo	147	R$ 113,64
27/12/2016	Porta	205	R$ 122,29
27/12/2016	Janela	220	R$ 54,75
26/12/2016	Rejunte	71	R$ 95,48
26/12/2016	Tijolo	290	R$ 113,64
26/12/2016	Vergalhão	178	R$ 138,59
26/12/2016	Porta	296	R$ 122,29
26/12/2016	Tijolo	80	R$ 113,64
26/12/2016	Tijolo	162	R$ 113,64
26/12/2016	Tinta	85	R$ 228,42
25/12/2016	Fiação	162	R$ 120,95
25/12/2016	Piso	109	R$ 138,32
25/12/2016	Porta	248	R$ 122,29
25/12/2016	Telha	292	R$ 48,81
25/12/2016	Tijolo	165	R$ 113,64
25/12/2016	Janela	284	R$ 54,75
24/12/2016	Fiação	227	R$ 120,95
23/12/2016	Tijolo	288	R$ 113,64
23/12/2016	Cimento	134	R$ 273,37
23/12/2016	Cimento	123	R$ 273,37
23/12/2016	Cimento	122	R$ 273,37
22/12/2016	Tijolo	147	R$ 113,64
22/12/2016	Telha	182	R$ 48,81
22/12/2016	Telha	164	R$ 48,81
22/12/2016	Vergalhão	93	R$ 138,59
21/12/2016	Tijolo	97	R$ 113,64
21/12/2016	Janela	271	R$ 54,75
21/12/2016	Cimento	167	R$ 273,37
20/12/2016	Fiação	94	R$ 120,95
20/12/2016	Cimento	80	R$ 273,37
20/12/2016	Telha	257	R$ 48,81
20/12/2016	Tinta	122	R$ 228,42
19/12/2016	Cimento	246	R$ 273,37
19/12/2016	Tinta	244	R$ 228,42
19/12/2016	Cimento	133	R$ 273,37
19/12/2016	Vergalhão	182	R$ 138,59
19/12/2016	Vergalhão	261	R$ 138,59
18/12/2016	Fiação	94	R$ 120,95
18/12/2016	Tijolo	216	R$ 113,64
17/12/2016	Cimento	199	R$ 273,37
17/12/2016	Janela	171	R$ 54,75
17/12/2016	Piso	275	R$ 138,32
16/12/2016	Tinta	164	R$ 228,42
16/12/2016	Cimento	189	R$ 273,37
16/12/2016	Porta	198	R$ 122,29
15/12/2016	Telha	178	R$ 48,81
14/12/2016	Porta	157	R$ 122,29
13/12/2016	Piso	121	R$ 138,32
13/12/2016	Cimento	80	R$ 273,37
12/12/2016	Tijolo	79	R$ 113,64
12/12/2016	Cimento	202	R$ 273,37
12/12/2016	Vergalhão	105	R$ 138,59
12/12/2016	Telha	108	R$ 48,81
11/12/2016	Porta	168	R$ 122,29
11/12/2016	Tijolo	159	R$ 113,64
11/12/2016	Vergalhão	109	R$ 138,59
10/12/2016	Vergalhão	99	R$ 138,59
10/12/2016	Porta	162	R$ 122,29
10/12/2016	Rejunte	136	R$ 95,48
10/12/2016	Tinta	64	R$ 228,42
10/12/2016	Rejunte	215	R$ 95,48
09/12/2016	Fiação	289	R$ 120,95
09/12/2016	Janela	158	R$ 54,75
09/12/2016	Cimento	148	R$ 273,37
09/12/2016	Vergalhão	195	R$ 138,59
08/12/2016	Janela	103	R$ 54,75
08/12/2016	Telha	180	R$ 48,81
08/12/2016	Fiação	229	R$ 120,95
08/12/2016	Tijolo	203	R$ 113,64
07/12/2016	Fiação	106	R$ 120,95
07/12/2016	Rejunte	93	R$ 95,48
07/12/2016	Janela	145	R$ 54,75
06/12/2016	Rejunte	261	R$ 95,48
06/12/2016	Tijolo	229	R$ 113,64
05/12/2016	Vergalhão	139	R$ 138,59
05/12/2016	Tinta	224	R$ 228,42
04/12/2016	Cimento	244	R$ 273,37
04/12/2016	Fiação	120	R$ 120,95
04/12/2016	Porta	136	R$ 122,29
04/12/2016	Tinta	291	R$ 228,42
03/12/2016	Vergalhão	155	R$ 138,59
03/12/2016	Vergalhão	71	R$ 138,59
02/12/2016	Rejunte	95	R$ 95,48
02/12/2016	Fiação	57	R$ 120,95
02/12/2016	Rejunte	173	R$ 95,48
02/12/2016	Rejunte	117	R$ 95,48
01/12/2016	Janela	180	R$ 54,75
30/11/2016	Porta	71	R$ 122,29
29/11/2016	Cimento	87	R$ 273,37
29/11/2016	Porta	190	R$ 122,29
29/11/2016	Cimento	221	R$ 273,37
28/11/2016	Fiação	225	R$ 120,95
28/11/2016	Janela	69	R$ 54,75
27/11/2016	Cimento	226	R$ 273,37
27/11/2016	Piso	254	R$ 138,32
27/11/2016	Piso	270	R$ 138,32
26/11/2016	Vergalhão	149	R$ 138,59
26/11/2016	Piso	64	R$ 138,32
26/11/2016	Vergalhão	282	R$ 138,59
26/11/2016	Janela	183	R$ 54,75
25/11/2016	Piso	285	R$ 138,32
25/11/2016	Cimento	209	R$ 273,37
25/11/2016	Piso	150	R$ 138,32
24/11/2016	Vergalhão	65	R$ 138,59
24/11/2016	Rejunte	208	R$ 95,48
24/11/2016	Vergalhão	258	R$ 138,59
24/11/2016	Fiação	125	R$ 120,95
23/11/2016	Tinta	108	R$ 228,42
23/11/2016	Porta	198	R$ 122,29
23/11/2016	Rejunte	109	R$ 95,48
23/11/2016	Vergalhão	166	R$ 138,59
23/11/2016	Porta	258	R$ 122,29
22/11/2016	Fiação	220	R$ 120,95
22/11/2016	Telha	74	R$ 48,81
22/11/2016	Tinta	228	R$ 228,42
22/11/2016	Rejunte	57	R$ 95,48
21/11/2016	Piso	265	R$ 138,32
20/11/2016	Piso	253	R$ 138,32
20/11/2016	Janela	233	R$ 54,75
20/11/2016	Rejunte	94	R$ 95,48
20/11/2016	Fiação	293	R$ 120,95
19/11/2016	Tinta	220	R$ 228,42
19/11/2016	Cimento	236	R$ 273,37
19/11/2016	Fiação	199	R$ 120,95
19/11/2016	Fiação	126	R$ 120,95
19/11/2016	Tijolo	225	R$ 113,64
19/11/2016	Vergalhão	192	R$ 138,59
19/11/2016	Tinta	256	R$ 228,42
18/11/2016	Cimento	271	R$ 273,37
18/11/2016	Tijolo	168	R$ 113,64
18/11/2016	Tijolo	133	R$ 113,64
17/11/2016	Tinta	60	R$ 228,42
17/11/2016	Telha	128	R$ 48,81
17/11/2016	Telha	160	R$ 48,81
17/11/2016	Tinta	245	R$ 228,42
17/11/2016	Rejunte	234	R$ 95,48
16/11/2016	Piso	227	R$ 138,32
15/11/2016	Piso	184	R$ 138,32
15/11/2016	Tinta	210	R$ 228,42
14/11/2016	Janela	275	R$ 54,75
14/11/2016	Janela	203	R$ 54,75
14/11/2016	Telha	76	R$ 48,81
14/11/2016	Piso	209	R$ 138,32
14/11/2016	Telha	149	R$ 48,81
13/11/2016	Vergalhão	204	R$ 138,59
13/11/2016	Telha	292	R$ 48,81
13/11/2016	Telha	56	R$ 48,81
13/11/2016	Telha	68	R$ 48,81
13/11/2016	Tinta	168	R$ 228,42
13/11/2016	Janela	165	R$ 54,75
12/11/2016	Rejunte	290	R$ 95,48
11/11/2016	Tinta	82	R$ 228,42
11/11/2016	Rejunte	119	R$ 95,48
11/11/2016	Cimento	239	R$ 273,37
11/11/2016	Telha	138	R$ 48,81
10/11/2016	Tijolo	186	R$ 113,64
10/11/2016	Janela	54	R$ 54,75
10/11/2016	Piso	265	R$ 138,32
10/11/2016	Janela	70	R$ 54,75
09/11/2016	Vergalhão	239	R$ 138,59
09/11/2016	Cimento	79	R$ 273,37
09/11/2016	Tijolo	156	R$ 113,64
08/11/2016	Rejunte	159	R$ 95,48
08/11/2016	Telha	226	R$ 48,81
08/11/2016	Tinta	60	R$ 228,42
