----------------------------------------------------------------------------------------------------------------					
Filial: Minas Gerais					
----------------------------------------------------------------------------------------------------------------					
ID	Data	Produto	Quantidade	Valor_Unt	Valor Total
10063	07/02/2018	Cadeira	2	160	320
10064	08/02/2018	Sofá	5	325	1625
10065	09/02/2018	Estante	4	1478	5912
10066	10/02/2018	Mesa	1	892	892
10067	11/02/2018	Estante	5	1478	7390
10068	05/03/2018	Sofá	1	325	325
10069	06/03/2018	Mesa	3	892	2676
10070	07/03/2018	Guarda-roupa	2	2800	5600
10071	08/03/2018	Sofá	5	325	1625
10072	09/03/2018	Sofá	3	325	975
10073	10/03/2018	Estante	1	1478	1478
10074	11/03/2018	Sofá	2	325	650
10075	12/03/2018	Estante	1	1478	1478
10076	13/03/2018	Estante	2	1478	2956
10077	14/03/2018	Guarda-roupa	1	2800	2800
10078	15/03/2018	Estante	2	1478	2956
10079	16/03/2018	Guarda-roupa	1	2800	2800
10080	01/04/2018	Cadeira	1	160	160
10081	02/04/2018	Sofá	2	325	650
10082	03/04/2018	Mesa	4	892	3568
10083	04/04/2018	Cadeira	3	160	480
10084	05/04/2018	Cadeira	3	160	480
10085	06/04/2018	Sofá	2	325	650
10086	07/04/2018	Estante	4	1478	5912
10087	08/04/2018	Estante	5	1478	7390
----------------------------------------------------------------------------------------------------------------					
Filial: São Paulo					
----------------------------------------------------------------------------------------------------------------					
ID	Data	Produto	Quantidade	Valor_Unt	Valor Total
10089	06/01/2018	Sofá	5	325	1625
10090	07/01/2018	Cadeira	5	160	800
10091	08/01/2018	Guarda-roupa	1	2800	2800
10092	09/01/2018	Cadeira	2	160	320
10093	10/01/2018	Sofá	5	325	1625
10094	11/01/2018	Guarda-roupa	5	2800	14000
10095	12/01/2018	Estante	3	1478	4434
10096	13/01/2018	Sofá	4	325	1300
10097	14/01/2018	Sofá	2	325	650
10098	15/01/2018	Cadeira	2	160	320
10099	16/01/2018	Mesa	3	892	2676
10100	17/01/2018	Guarda-roupa	4	2800	11200
10101	18/01/2018	Estante	1	1478	1478
10102	03/02/2018	Cadeira	4	160	640
10103	04/02/2018	Cadeira	3	160	480
10104	05/02/2018	Guarda-roupa	2	2800	5600
10105	06/02/2018	Estante	4	1478	5912
10106	07/02/2018	Guarda-roupa	4	2800	11200
10107	08/02/2018	Estante	1	1478	1478
10108	09/02/2018	Sofá	2	325	650
10109	10/02/2018	Guarda-roupa	4	2800	11200
10110	11/02/2018	Guarda-roupa	4	2800	11200
10111	12/02/2018	Cadeira	3	160	480
10112	13/02/2018	Sofá	5	325	1625
10113	14/02/2018	Estante	4	1478	5912
10114	15/02/2018	Sofá	2	325	650
10115	16/02/2018	Estante	2	1478	2956
10116	17/02/2018	Estante	3	1478	4434
10117	05/03/2018	Cadeira	5	160	800
10118	06/03/2018	Cadeira	5	160	800
10119	07/03/2018	Estante	4	1478	5912
10120	08/03/2018	Mesa	1	892	892
10121	09/03/2018	Mesa	2	892	1784
10122	10/03/2018	Sofá	1	325	325
10123	11/03/2018	Estante	5	1478	7390
10124	12/03/2018	Cadeira	1	160	160
10125	13/03/2018	Cadeira	1	160	160
10126	14/03/2018	Mesa	1	892	892
10127	15/03/2018	Sofá	4	325	1300
10128	16/03/2018	Estante	1	1478	1478
10129	17/03/2018	Estante	1	1478	1478
10130	18/03/2018	Sofá	2	325	650
10131	19/03/2018	Mesa	1	892	892
10132	20/03/2018	Sofá	4	325	1300
10133	21/03/2018	Estante	2	1478	2956
10134	22/03/2018	Cadeira	5	160	800
10135	23/03/2018	Cadeira	5	160	800
10136	24/03/2018	Sofá	4	325	1300
10137	25/03/2018	Mesa	4	892	3568
10138	26/03/2018	Sofá	5	325	1625
10139	01/04/2018	Estante	3	1478	4434
10140	02/04/2018	Mesa	3	892	2676
10141	03/04/2018	Cadeira	2	160	320
10142	04/04/2018	Cadeira	2	160	320
10143	05/04/2018	Estante	4	1478	5912
10144	06/04/2018	Cadeira	1	160	160
10145	07/04/2018	Estante	4	1478	5912
10146	08/04/2018	Guarda-roupa	2	2800	5600
10147	09/04/2018	Guarda-roupa	5	2800	14000
10148	10/04/2018	Guarda-roupa	5	2800	14000
10149	11/04/2018	Guarda-roupa	5	2800	14000
10150	12/04/2018	Sofá	1	325	325
10151	13/04/2018	Sofá	2	325	650
